Kapitel,Paragraf,Ord
1,23,skrämma
1,23,dig
1,23,av
1,23,några
1,23,skvallerhistorier»
1,24,»ja
1,24,jag
1,24,kunde
1,24,just
1,24,tro
1,24,att
1,24,du
1,24,ingenting
1,24,visste»
1,24,sade
1,24,ålin
1,24,envist
1,24,»hemma
1,24,på
1,24,munkhyttan
1,24,går
1,24,bergsrådinnan
1,24,och
1,24,sparar
1,24,och
1,24,sliter
1,24,för
1,24,att
1,24,få
1,24,pengar
1,24,att
1,24,sända
1,24,dig
1,24,här
1,24,i
1,24,uppsala
1,24,och
1,24,för
1,24,att
1,24,kunna
1,24,ha
1,24,det
1,24,glatt
1,24,och
1,24,muntert
1,24,under
1,24,mellanterminerna
1,24,då
1,24,du
1,24,är
1,24,hemma
1,24,och
1,24,under
1,24,tiden
1,24,ligger
1,24,du
1,24,här
1,24,och
1,24,gör
1,24,ingenting
1,24,därför
1,24,att
1,24,du
1,24,inte
1,24,vet
1,24,av
1,24,att
1,24,det
1,24,är
1,24,fara
1,24,på
1,24,färde
1,24,jag
1,24,kunde
1,24,inte
1,24,gå
1,24,längre
1,24,och
1,24,se
1,24,på
1,24,hur
1,24,ni
1,24,bedrogo
1,24,varandra
1,24,hennes
1,24,nåd
1,24,trodde
1,24,att
1,24,du
1,24,läste
1,24,och
1,24,du
1,24,trodde
1,24,att
1,24,hon
1,24,var
1,24,rik
1,24,jag
1,24,kunde
1,24,väl
1,24,inte
1,24,låta
1,24,dig
1,24,förstöra
1,24,din
1,24,framtid
1,24,utan
1,24,att
1,24,säga
1,24,något»
1,25,hede
1,25,satt
1,25,tyst
1,25,en
1,25,stund
1,25,och
1,25,eftersinnade
1,25,därpå
1,25,steg
1,25,han
1,25,upp
1,25,och
1,25,räckte
1,25,ålin
1,25,handen
1,25,med
1,25,ett
1,25,sorgset
1,25,leende
1,25,»du
1,25,förstår
1,25,väl
1,25,att
1,25,jag
1,25,inser
1,25,att
1,25,du
1,25,talar
1,25,sanning
1,25,fastän
1,25,jag
1,25,inte
1,25,vill
1,25,tro
1,25,dig
1,25,tack»
1,26,ålin
1,26,skakade
1,26,hans
1,26,hand
1,26,strålande
1,26,av
1,26,förnöjelse
1,26,»du
1,26,begriper
1,26,nog
1,26,hede
1,26,att
1,26,ingenting
1,26,är
1,26,förlorat
1,26,bara
1,26,du
1,26,arbetar
1,26,med
1,26,ditt
1,26,huvud
1,26,kan
1,26,du
1,26,vara
1,26,färdig
1,26,med
1,26,graden
1,26,på
1,26,en
1,26,sju
1,26,åtta
1,26,terminer»
1,27,hede
1,27,rätade
1,27,upp
1,27,sig
1,27,»var
1,27,du
1,27,lugn
1,27,ålin»
1,27,sade
1,27,han
1,27,»jag
1,27,skall
1,27,bli
1,27,flitig
1,27,nu»
1,28,ålin
1,28,reste
1,28,sig
1,28,och
1,28,gick
1,28,mot
1,28,dörren
1,28,men
1,28,helt
1,28,tveksamt
1,28,innan
1,28,han
1,28,hade
1,28,nått
1,28,tröskeln
1,28,vände
1,28,han
1,28,»jag
1,28,hade
1,28,ett
1,28,annat
1,28,ärende
1,28,också»
1,28,sade
1,28,han
1,28,han
1,28,blev
1,28,åter
1,28,oändligt
1,28,förlägen
1,28,»jag
1,28,ville
1,28,be
1,28,dig
1,28,att
1,28,du
1,28,lånar
1,28,mig
1,28,fiolen
1,28,tills
1,28,du
1,28,kommer
1,28,dig
1,28,i
1,28,gång
1,28,med
1,28,studierna»
1,29,»låna
1,29,dig
1,29,fiolen?»
1,30,»ja
1,30,svepa
1,30,in
1,30,den
1,30,i
1,30,silkeduken
1,30,och
1,30,låsa
1,30,in
1,30,den
1,30,i
1,30,fodralet
1,30,och
1,30,låta
1,30,mig
1,30,bära
1,30,bort
1,30,den
1,30,annars
1,30,blir
1,30,det
1,30,ingen
1,30,läsning
1,30,av
1,30,för
1,30,dig
