"Totalkonsumtion"

"Vara";"Tabelluppgifter";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019 prel.";"2020 prel."
"Ägg";"Kilo eller liter per person och år";11.82;11.97;12.03;11.57;11.76;11.64;11.55;11.90;12.00;12.30;12.67;12.54;12.57;12.74;12.59;12.67;12.28;12.70;13.36;12.95;13.24;13.20;13.23;12.73;13.81;14.04;13.82;13.41;14.06;13.75;13.62;12.81;12.68;12.43;12.55;11.96;12.45;12.13;12.27;11.89;12.00;11.85;11.26;11.49;12.44;12.05;12.30;12.23;12.52;13.01;13.39;13.60;14.10;14.37;13.93;14.29;15.02;14.73;14.99;14.94;14.73
"Färskpotatis, inkl. skalad potatis";"Kilo eller liter per person och år";86.80;..;..;..;..;..;..;..;73.15;70.42;68.80;69.60;69.19;67.35;65.81;63.60;57.77;63.50;66.16;65.60;64.90;65.16;66.13;65.24;64.99;64.97;64.27;64.09;62.17;61.25;60.40;60.81;61.49;62.79;61.70;57.22;50.03;50.18;47.78;47.95;47.10;46.01;44.49;43.37;45.69;46.52;46.00;44.90;44.50;44.70;43.30;45.00;45.33;45.30;45.11;45.12;47.07;46.55;46.37;46.51;..
"Potatisinnehåll i förädlade produkter";"Kilo eller liter per person och år";3.00;..;..;..;..;..;..;..;12.26;14.56;15.50;14.19;14.04;15.36;16.42;18.07;19.22;17.21;17.45;18.00;18.71;18.45;17.48;18.36;18.62;18.63;19.32;19.52;21.42;22.35;23.20;22.79;22.10;20.81;21.90;26.37;33.57;33.42;35.82;35.65;36.50;37.59;39.10;40.23;37.92;37.08;37.60;38.70;39.10;38.90;40.30;38.60;38.27;38.30;38.49;38.48;36.53;37.05;37.23;37.09;..
"Matpotatis";"Kilo eller liter per person och år";89.84;86.70;85.29;84.03;82.55;80.94;79.37;78.09;85.41;84.98;84.30;83.79;83.23;82.71;82.23;81.67;76.99;80.71;83.60;83.60;83.61;83.61;83.60;83.60;83.60;83.60;83.59;83.60;83.59;83.60;83.60;83.60;83.59;83.60;83.60;83.60;83.60;83.60;83.60;83.60;83.60;83.60;83.60;83.60;83.60;83.60;83.60;83.60;83.60;83.60;83.60;83.60;83.60;83.60;83.60;83.60;83.60;83.60;83.60;83.60;..
"Socker och sirap (vitsockervärde)";"Kilo eller liter per person och år";44.95;43.82;43.41;43.28;41.55;42.47;43.10;43.51;42.89;43.29;44.04;44.58;44.75;44.32;45.09;43.21;44.88;41.06;40.70;41.89;42.09;42.02;41.85;42.41;43.61;43.78;43.72;43.11;43.46;43.49;42.62;43.39;43.64;44.05;49.54;44.85;45.83;46.21;48.14;47.06;48.17;48.79;47.76;48.37;45.36;45.84;47.63;42.98;44.02;44.52;47.46;46.06;44.26;45.28;43.21;41.31;42.80;37.52;40.34;38.92;..
"Kaffe, rostat";"Kilo eller liter per person och år";7.99;8.11;8.85;9.39;9.72;9.85;10.00;10.56;10.85;10.73;10.84;10.69;10.64;10.66;10.69;10.77;11.29;8.12;9.26;9.62;9.57;9.62;9.49;8.93;9.38;8.96;8.88;8.98;8.80;8.84;8.96;8.85;8.53;8.53;8.73;7.50;8.45;7.70;7.55;7.50;6.95;7.00;7.55;7.49;7.86;7.73;8.13;7.98;7.97;7.96;8.83;7.34;7.97;8.11;7.46;7.51;8.29;7.57;7.50;7.79;..
"Te";"Kilo eller liter per person och år";0.13;0.15;0.16;0.17;0.17;0.19;0.19;0.20;0.24;0.23;0.24;0.25;0.27;0.28;0.29;0.32;0.33;0.44;0.33;0.36;0.35;0.35;0.35;0.35;0.37;0.37;0.37;0.37;0.30;0.31;0.34;0.32;0.30;0.31;0.33;0.28;0.32;0.33;0.32;0.33;0.36;0.27;0.31;0.29;0.32;0.30;0.24;0.37;0.40;0.41;0.37;0.32;0.29;0.31;0.31;0.31;0.33;0.30;0.28;0.26;..
"Köksväxter, färska och frysta";"Kilo eller liter per person och år";23.89;24.99;25.17;26.32;27.14;29.14;31.54;32.20;30.87;29.99;32.38;32.97;32.15;31.89;32.27;32.80;31.85;32.06;32.30;33.53;32.19;35.88;36.61;37.56;40.19;41.71;42.54;40.65;41.50;42.71;42.65;41.39;42.60;44.57;45.48;46.37;48.35;49.50;51.53;53.05;53.27;54.13;52.10;52.53;58.50;57.39;60.94;59.13;59.24;59.91;59.73;64.66;67.08;66.23;66.58;66.40;65.01;73.84;68.68;69.49;..
"Köksväxter  beredda";"Kilo eller liter per person och år";4.59;5.19;5.69;6.34;7.00;6.61;6.68;7.39;7.04;7.04;7.11;7.69;7.31;7.08;7.08;8.22;8.05;7.61;8.48;8.46;8.87;8.31;7.80;7.43;7.34;7.26;8.02;7.95;12.84;12.49;12.36;12.41;11.77;11.64;11.78;10.99;11.46;11.36;11.73;13.04;12.55;13.29;13.25;14.76;14.96;13.85;14.81;15.25;16.25;15.78;15.44;16.08;15.27;14.96;15.14;15.47;16.39;15.97;16.13;16.59;..
"Frukter och bär, färska och frysta";"Kilo eller liter per person och år";51.42;49.69;53.03;52.17;56.62;55.35;55.38;57.54;58.72;54.41;57.16;58.11;58.46;56.26;54.60;57.07;58.11;57.05;55.24;59.95;53.87;55.78;55.08;53.91;55.24;57.32;59.85;61.66;54.14;55.01;55.05;58.08;58.31;56.66;57.48;53.99;54.90;57.34;56.64;57.93;60.74;56.37;56.66;61.11;63.26;63.49;65.13;66.16;64.95;58.54;62.80;65.03;66.29;67.56;67.35;68.37;68.16;67.96;61.39;61.08;..
"Frukter och bär, beredda";"Kilo eller liter per person och år";12.67;13.38;15.50;15.91;16.99;18.14;19.74;21.11;23.55;26.48;25.67;26.58;27.65;28.82;29.85;30.02;30.90;29.19;28.21;28.84;29.53;28.79;28.17;25.55;25.64;25.65;25.11;26.28;33.68;33.67;35.18;35.69;35.39;35.53;37.88;35.71;36.43;35.91;36.74;36.22;34.68;37.95;41.71;42.46;40.23;37.82;41.98;43.54;42.12;34.39;35.72;40.14;38.50;38.29;41.43;41.62;36.12;35.88;35.18;34.40;..
