Kapitel,Paragraf,Ord
1,28,du
1,28,ska
1,28,avbryta;
1,28,det
1,28,är
1,28,en
1,28,svår
1,28,bana
1,28,den
1,28,här
1,28,litteratörsbanan
1,29,struve
1,29,såg
1,29,ut
1,29,som
1,29,om
1,29,han
1,29,skulle
1,29,tycka
1,29,att
1,29,det
1,29,var
1,29,synd
1,29,men
1,29,kunde
1,29,icke
1,29,dölja
1,29,en
1,29,viss
1,29,förnöjelse
1,29,över
1,29,att
1,29,få
1,29,en
1,29,olyckskamrat
1,30,men
1,30,säg
1,30,mig
1,30,då
1,30,fortfor
1,30,han
1,30,orsaken
1,30,till
1,30,att
1,30,du
1,30,lämnar
1,30,en
1,30,bana
1,30,som
1,30,ger
1,30,både
1,30,ära
1,30,och
1,30,makt
1,31,ära
1,31,åt
1,31,dem
1,31,som
1,31,hava
1,31,tillvällat
1,31,sig
1,31,makten
1,31,och
1,31,makten
1,31,åt
1,31,de
1,31,hänsynslösa
1,32,åh
1,32,du
1,32,pratar
1,32,inte
1,32,är
1,32,det
1,32,så
1,32,farligt
1,32,heller?
1,33,inte?
1,33,nå
1,33,så
1,33,gärna
1,33,som
1,33,vi
1,33,tala
1,33,om
1,33,något
1,33,annat
1,33,så
1,33,jag
1,33,skall
1,33,bara
1,33,ge
1,33,dig
1,33,en
1,33,interiör
1,33,ifrån
1,33,ett
1,33,av
1,33,de
1,33,sex
1,33,verk
1,33,jag
1,33,skrev
1,33,in
1,33,mig
1,33,uti
1,33,de
1,33,fem
1,33,första
1,33,lämnade
1,33,jag
1,33,genast
1,33,av
1,33,den
1,33,naturliga
1,33,orsak
1,33,att
1,33,där
1,33,inte
1,33,fanns
1,33,något
1,33,arbete
1,33,varje
1,33,gång
1,33,jag
1,33,kom
1,33,upp
1,33,och
1,33,frågade
1,33,om
1,33,det
1,33,fanns
1,33,något
1,33,att
1,33,göra
1,33,så
1,33,blev
1,33,svaret
1,33,alltid:
1,33,nej
1,33,och
1,33,jag
