Name,Sign,Measure area,Date,Year,Value
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1931-12-31T00:00:00Z,1931,4.85
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1932-12-31T00:00:00Z,1932,6.33
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1933-12-31T00:00:00Z,1933,6.05
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1934-12-31T00:00:00Z,1934,7.81
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1935-12-31T00:00:00Z,1935,6.59
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1936-12-31T00:00:00Z,1936,6.7
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1937-12-31T00:00:00Z,1937,6.87
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1938-12-31T00:00:00Z,1938,7.69
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1939-12-31T00:00:00Z,1939,6.77
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1940-12-31T00:00:00Z,1940,4.4
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1941-12-31T00:00:00Z,1941,4.33
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1942-12-31T00:00:00Z,1942,4.08
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1943-12-31T00:00:00Z,1943,7.27
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1944-12-31T00:00:00Z,1944,6.6
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1945-12-31T00:00:00Z,1945,6.49
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1946-12-31T00:00:00Z,1946,6.18
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1947-12-31T00:00:00Z,1947,5.74
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1948-12-31T00:00:00Z,1948,6.54
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1949-12-31T00:00:00Z,1949,7.49
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1950-12-31T00:00:00Z,1950,6.49
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1951-12-31T00:00:00Z,1951,6.41
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1952-12-31T00:00:00Z,1952,5.1
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1953-12-31T00:00:00Z,1953,7.17
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1954-12-31T00:00:00Z,1954,5.76
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1955-12-31T00:00:00Z,1955,5.53
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1956-12-31T00:00:00Z,1956,4.49
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1957-12-31T00:00:00Z,1957,5.86
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1958-12-31T00:00:00Z,1958,5.2
