Hemmalag,Bortalag,Hemmamål,Bortamål,Publik,Domare,Arena,Datum,Säsong
Gefle,Elfsborg,1,0,4331,Stefan Johannesson,Strömvallen,2011-06-18,2011
Halmstad,Örebro,0,0,3089,Michael Lerjéus,Örjans Vall,2011-06-18,2011
Mjällby,IFK Göteborg,0,2,4871,Jonas Eriksson,Strandvallen,2011-06-18,2011
Trelleborg,Häcken,1,4,1590,Martin Strömbergsson,"Vångavallen, Trelleborg",2011-06-18,2011
IFK Norrköping,Helsingborg,0,0,5310,Johan Hamlin,Nya Parken,2011-06-19,2011
Gais,AIK,2,0,4582,Martin Hansson,Gamla Ullevi,2011-06-19,2011
Malmö FF,Kalmar,2,0,11804,Daniel Stålhammar,Stadion,2011-06-20,2011
Djurgården,Syrianska,3,0,8149,Martin Ingvarsson,Råsunda,2011-06-20,2011
Häcken,Halmstad,3,1,2575,Andreas Ekberg,Rambergsvallen,2011-06-21,2011
AIK,IFK Norrköping,3,0,11078,Stefan Johannesson,Råsunda,2011-06-22,2011
IFK Göteborg,Elfsborg,1,1,14885,Martin Hansson,Gamla Ullevi,2011-06-22,2011
Malmö FF,Gefle,0,0,10655,Martin Ingvarsson,Stadion,2011-06-23,2011
Kalmar,Gais,2,1,7093,Johan Hamlin,Guldfågeln Arena,2011-06-23,2011
Helsingborg,Trelleborg,7,3,7929,Michael Lerjéus,"Olympia, Helsingborg",2011-06-23,2011
Örebro,Djurgården,1,2,8912,Jonas Eriksson,Behrn Arena,2011-06-23,2011
Syrianska,Mjällby,3,1,1585,Tobias Mattsson,Södertälje Fotbollsarena,2011-06-23,2011
Gais,Malmö FF,2,0,5104,Michael Lerjéus,Gamla Ullevi,2011-06-26,2011
Mjällby,Örebro,2,1,2819,Daniel Stålhammar,Strandvallen,2011-06-26,2011
Djurgården,Häcken,1,0,7008,Martin Hansson,Stadion,2011-06-26,2011
Gefle,IFK Göteborg,1,0,6512,Jonas Eriksson,Strömvallen,2011-06-26,2011
Trelleborg,AIK,1,2,2395,Tobias Mattsson,"Vångavallen, Trelleborg",2011-06-26,2011
IFK Norrköping,Kalmar,1,2,7545,Johan Hamlin,Nya Parken,2011-06-27,2011
Halmstad,Helsingborg,1,2,6834,Stefan Johannesson,Örjans Vall,2011-06-27,2011
Elfsborg,Syrianska,2,1,7786,Andreas Ekberg,Borås Arena,2011-06-27,2011
Kalmar,Trelleborg,3,2,6512,Daniel Stålhammar,Guldfågeln Arena,2011-07-02,2011
Syrianska,IFK Göteborg,1,2,2539,Johan Hamlin,Södertälje Fotbollsarena,2011-07-02,2011
Gais,Gefle,2,3,4471,Andreas Ekberg,Gamla Ullevi,2011-07-02,2011
Malmö FF,IFK Norrköping,2,1,9778,Martin Hansson,Stadion,2011-07-03,2011
Örebro,Elfsborg,0,3,6957,Stefan Johannesson,Behrn Arena,2011-07-03,2011
Häcken,Mjällby,6,0,1927,Michael Lerjéus,Rambergsvallen,2011-07-03,2011
Halmstad,AIK,1,3,6119,Jonas Eriksson,Örjans Vall,2011-07-03,2011
Djurgården,Helsingborg,1,1,9385,Markus Strömbergsson,Stadion,2011-07-04,2011
Gefle,Gais,1,3,5257,Daniel Stålhammar,Strömvallen,2011-07-09,2011
IFK Norrköping,Malmö FF,0,0,6282,Tobias Mattsson,Nya Parken,2011-07-09,2011
Trelleborg,Kalmar,3,2,1570,Martin Hansson,"Vångavallen, Trelleborg",2011-07-09,2011
IFK Göteborg,Syrianska,3,0,9832,Martin Strömbergsson,Gamla Ullevi,2011-07-10,2011
Mjällby,Häcken,1,2,3007,Jim Petersson,Strandvallen,2011-07-10,2011
Elfsborg,Örebro,3,0,8507,Jonas Eriksson,Borås Arena,2011-07-10,2011
AIK,Halmstad,4,0,13668,Martin Ingvarsson,Råsunda,2011-07-11,2011
Helsingborg,Djurgården,3,0,13245,Stefan Johannesson,"Olympia, Helsingborg",2011-07-11,2011
IFK Norrköping,Syrianska,2,1,6227,Daniel Stålhammar,Nya Parken,2011-07-16,2011
Djurgården,Mjällby,1,0,5713,Martin Strömbergsson,Stadion,2011-07-16,2011
Gais,Örebro,4,1,4069,Stefan Johannesson,Gamla Ullevi,2011-07-17,2011
Gefle,AIK,0,3,7098,Jonas Eriksson,Strömvallen,2011-07-17,2011
Halmstad,Elfsborg,1,2,5865,Michael Lerjéus,Örjans Vall,2011-07-17,2011
Kalmar,Helsingborg,1,2,11787,Martin Hansson,Guldfågeln Arena,2011-07-18,2011
Trelleborg,IFK Göteborg,2,0,3820,Andreas Ekberg,"Vångavallen, Trelleborg",2011-07-18,2011
Helsingborg,Malmö FF,2,2,16500,Jonas Eriksson,"Olympia, Helsingborg",2011-07-23,2011
Mjällby,Gefle,5,1,2310,Michael Lerjéus,Strandvallen,2011-07-23,2011
Syrianska,Trelleborg,4,1,1778,Bojan Pandzic,Södertälje Fotbollsarena,2011-07-23,2011
AIK,Kalmar,2,1,14818,Stefan Johannesson,Råsunda,2011-07-24,2011
Häcken,Gais,2,0,6454,Daniel Stålhammar,Rambergsvallen,2011-07-24,2011
Örebro,IFK Norrköping,2,0,7512,Martin Hansson,Behrn Arena,2011-07-24,2011
Elfsborg,Djurgården,2,1,9617,Martin Ingvarsson,Borås Arena,2011-07-25,2011
IFK Göteborg,Halmstad,3,1,10023,Tobias Mattsson,Gamla Ullevi,2011-07-25,2011
IFK Norrköping,Trelleborg,2,1,9136,Martin Ingvarsson,Nya Parken,2011-07-30,2011
Gefle,Örebro,0,1,3696,Johan Hamlin,NA,2011-07-31,2011
Helsingborg,IFK Göteborg,2,1,12783,Stefan Johannesson,"Olympia, Helsingborg",2011-07-31,2011
AIK,Elfsborg,0,1,18815,Michael Lerjéus,Råsunda,2011-07-31,2011
Häcken,Syrianska,4,0,2239,Tobias Mattsson,Rambergsvallen,2011-07-31,2011
Gais,Halmstad,2,1,4430,Martin Strömbergsson,NA,2011-08-01,2011
Kalmar,Mjällby,0,3,10999,Jonas Eriksson,NA,2011-08-01,2011
IFK Göteborg,AIK,3,1,13918,Jonas Eriksson,Gamla Ullevi,2011-08-04,2011
Mjällby,Malmö FF,1,1,7000,Stefan Johannesson,Strandvallen,2011-08-06,2011
Trelleborg,Gefle,2,0,1640,Martin Ingvarsson,"Vångavallen, Trelleborg",2011-08-06,2011
Örebro,Häcken,4,0,4870,Martin Strömbergsson,Behrn Arena,2011-08-07,2011
Halmstad,IFK Norrköping,5,4,3784,Johan Hamlin,Örjans Vall,2011-08-07,2011
Syrianska,Helsingborg,1,2,1763,Martin Hansson,Södertälje Fotbollsarena,2011-08-07,2011
Djurgården,Gais,2,2,5527,Michael Lerjéus,Stadion,2011-08-07,2011
Elfsborg,Kalmar,0,0,8638,Daniel Stålhammar,Borås Arena,2011-08-07,2011
Mjällby,Syrianska,3,0,3507,Daniel Stålhammar,Strandvallen,2011-08-13,2011
Halmstad,Häcken,0,1,4058,Michael Lerjéus,Örjans Vall,2011-08-13,2011
Gais,Kalmar,1,0,5234,Andreas Ekberg,Gamla Ullevi,2011-08-14,2011
Trelleborg,Helsingborg,1,3,3795,Stefan Johannesson,"Vångavallen, Trelleborg",2011-08-14,2011
Djurgården,Örebro,0,2,6298,Martin Ingvarsson,Stadion,2011-08-14,2011
IFK Norrköping,AIK,0,1,10808,Martin Hansson,Nya Parken,2011-08-15,2011
Elfsborg,IFK Göteborg,3,2,15722,Jonas Eriksson,Borås Arena,2011-08-15,2011
Kalmar,IFK Norrköping,5,0,6010,Martin Ingvarsson,Guldfågeln Arena,2011-08-19,2011
Malmö FF,Gais,2,1,8386,Johan Hamlin,Stadion,2011-08-20,2011
Häcken,Djurgården,2,0,2397,Martin Strömbergsson,Rambergsvallen,2011-08-21,2011
Syrianska,Elfsborg,0,2,1962,Tobias Mattsson,Södertälje Fotbollsarena,2011-08-21,2011
Helsingborg,Halmstad,2,1,10212,Daniel Stålhammar,Olympia,2011-08-21,2011
AIK,Trelleborg,3,0,10410,Jonas Eriksson,Råsunda,2011-08-21,2011
Örebro,Mjällby,0,2,6032,Stefan Johannesson,NA,2011-08-22,2011
IFK Göteborg,Gefle,3,0,7152,Martin Ingvarsson,NA,2011-08-22,2011
IFK Norrköping,Djurgården,2,1,8135,Michael Lerjéus,Nya Parken,2011-08-25,2011
Trelleborg,Halmstad,0,1,1510,Andreas Ekberg,"Vångavallen, Trelleborg",2011-08-27,2011
Kalmar,IFK Göteborg,0,0,8912,Stefan Johannesson,Guldfågeln Arena,2011-08-27,2011
Helsingborg,Örebro,2,0,7862,Markus Strömbergsson,"Olympia, Helsingborg",2011-08-28,2011
Gefle,Häcken,2,2,2837,Jonas Eriksson,Strömvallen,2011-08-28,2011
Gais,Mjällby,3,0,3858,Tobias Mattsson,Gamla Ullevi,2011-08-28,2011
Malmö FF,Elfsborg,2,1,11333,Martin Hansson,Stadion,2011-08-28,2011
AIK,Syrianska,1,0,12023,Daniel Stålhammar,Råsunda,2011-08-28,2011
Gefle,Malmö FF,2,0,3305,Johan Hamlin,Strömvallen,2011-09-08,2011
Häcken,Helsingborg,1,1,3038,Michael Lerjéus,Rambergsvallen,2011-09-09,2011
Mjällby,IFK Norrköping,0,0,3116,Jonas Eriksson,Strandvallen,2011-09-10,2011
Syrianska,Kalmar,2,1,1831,Martin Strömbergsson,Södertälje Fotbollsarena,2011-09-11,2011
Djurgården,Trelleborg,4,3,6307,Daniel Stålhammar,Stadion,2011-09-11,2011
IFK Göteborg,Malmö FF,0,0,11640,Markus Strömbergsson,Gamla Ullevi,2011-09-11,2011
Örebro,AIK,1,2,9517,Martin Hansson,Behrn Arena,2011-09-12,2011
Halmstad,Gefle,2,2,2305,Andreas Ekberg,Örjans Vall,2011-09-12,2011
Elfsborg,Gais,1,3,9728,Martin Ingvarsson,Borås Arena,2011-09-12,2011
Mjällby,AIK,0,2,3239,Andreas Ekberg,Strandvallen,2011-09-15,2011
Gais,IFK Norrköping,1,2,7126,Martin Ingvarsson,Gamla Ullevi,2011-09-16,2011
Kalmar,Halmstad,1,0,5237,Johan Hamlin,Guldfågeln Arena,2011-09-17,2011
Helsingborg,Mjällby,3,0,10630,Martin Strömbergsson,"Olympia, Helsingborg",2011-09-18,2011
Gefle,Syrianska,2,1,3314,Tobias Mattsson,Strömvallen,2011-09-18,2011
Malmö FF,Trelleborg,1,1,9213,Michael Lerjéus,Stadion,2011-09-18,2011
Häcken,Elfsborg,2,0,3049,Markus Strömbergsson,Rambergsvallen,2011-09-18,2011
Örebro,IFK Göteborg,0,2,7109,Daniel Stålhammar,Behrn Arena,2011-09-18,2011
AIK,Djurgården,0,1,24639,Jonas Eriksson,Råsunda,2011-09-19,2011
IFK Norrköping,Gefle,1,1,6022,Daniel Stålhammar,Nya Parken,2011-09-21,2011
Trelleborg,Gais,0,1,1645,Martin Hansson,Vångavallen,2011-09-21,2011
Halmstad,Malmö FF,1,5,3065,Martin Strömbergsson,Örjans vall,2011-09-21,2011
Elfsborg,Helsingborg,3,2,14197,Stefan Johannesson,Borås Arena,2011-09-21,2011
Syrianska,Örebro,3,1,4896,Johan Hamlin,Södertälje Fotbollsarena,2011-09-21,2011
IFK Göteborg,Häcken,2,2,8947,Michael Lerjéus,Gamla Ullevi,2011-09-22,2011
Djurgården,Kalmar,2,1,5152,Martin Ingvarsson,Stockholms Stadion,2011-09-23,2011
Mjällby,Elfsborg,2,1,2753,Markus Strömbergsson,Strandvallen,2011-09-24,2011
Halmstad,Syrianska,0,1,2092,Johan Hamlin,Örjans vall,2011-09-24,2011
Gais,Helsingborg,1,3,6632,Michael Lerjéus,Gamla Ullevi,2011-09-25,2011
IFK Norrköping,Häcken,0,1,6541,Tobias Mattsson,Nya Parken,2011-09-25,2011
Malmö FF,AIK,1,1,10887,Daniel Stålhammar,Stadion,2011-09-25,2011
Trelleborg,Örebro,1,1,1695,Jonas Eriksson,Vångavallen,2011-09-25,2011
Gefle,Kalmar,1,1,3754,Bojan Pandzic,Strömsvallen,2011-09-26,2011
Djurgården,IFK Göteborg,1,2,6426,Martin Hansson,Stockholms Stadion,2011-09-26,2011
Syrianska,Djurgården,0,0,4261,Jonas Eriksson,Södertälje Fotbollsarena,2011-09-30,2011
IFK Göteborg,Mjällby,0,1,7407,Martin Strömbergsson,Gamla Ullevi,2011-10-01,2011
AIK,Gais,2,1,9492,Daniel Stålhammar,Råsunda,2011-10-01,2011
Helsingborg,IFK Norrköping,1,1,12820,Michael Lerjéus,Olympia,2011-10-02,2011
Elfsborg,Gefle,3,0,8825,Andreas Ekberg,Borås arena,2011-10-02,2011
Kalmar,Malmö FF,1,2,8388,Johan Hamlin,Guldfågeln Arena,2011-10-02,2011
Häcken,Trelleborg,1,0,2302,Tobias Mattsson,Rambergsvallen,2011-10-02,2011
Örebro,Halmstad,1,0,4321,Bojan Pandzic,Behrn Arena,2011-10-02,2011
Malmö FF,Häcken,1,0,6784,Andreas Ekberg,Stadion,2011-10-13,2011
Malmö FF,Djurgården,1,0,12236,Markus Strömbergsson,Stadion,2011-10-15,2011
Kalmar,Örebro,4,1,5857,Andreas Ekberg,Guldfågeln Arena,2011-10-15,2011
Trelleborg,Mjällby,1,2,2295,Stefan Johannesson,Vångavallen,2011-10-16,2011
AIK,Häcken,2,1,14517,Jonas Eriksson,Råsunda,2011-10-16,2011
IFK Norrköping,Elfsborg,2,1,8145,Martin Strömbergsson,Nya Parken,2011-10-16,2011
Gais,IFK Göteborg,1,0,15530,Martin Hansson,Gamla Ullevi,2011-10-17,2011
Malmö FF,Syrianska,1,0,6715,Daniel Stålhammar,Stadion,2011-10-17,2011
Gefle,Helsingborg,2,0,3305,Bojan Pandzic,Strömvallen,2011-10-17,2011
Halmstad,Djurgården,1,3,1874,Michael Lerjéus,Örjans vall,2011-10-17,2011
Häcken,Kalmar,1,2,2137,NA,Rambergsvallen,2011-10-23,2011
Helsingborg,AIK,1,1,16530,NA,Olympia,2011-10-23,2011
Örebro,Malmö FF,1,2,5112,Martin Strömbergsson,Behrn Arena,2011-10-23,2011
Mjällby,Halmstad,2,0,3010,Martin Ingvarsson,Strandvallen,2011-10-23,2011
Djurgården,Gefle,1,1,10224,Stefan Johannesson,Stockholms Stadion,2011-10-23,2011
Elfsborg,Trelleborg,3,0,7414,Martin Hansson,Borås arena,2011-10-23,2011
IFK Göteborg,IFK Norrköping,3,0,6149,NA,Gamla Ullevi,2011-10-23,2011
Syrianska,Gais,0,2,1578,Jonas Eriksson,Södertälje Fotbollsarena,2011-10-23,2011
Elfsborg,Djurgården,2,1,13673,Martin Hansson,Borås arena,2012-03-31,2012
Sundsvall,Kalmar,0,1,4836,Martin Strömbergsson,Norrport Arena,2012-03-31,2012
Gais,Häcken,0,0,9561,Markus Strömbergsson,Gamla Ullevi,2012-03-31,2012
AIK,Mjällby,0,0,20557,Michael Lerjéus,Råsunda,2012-04-01,2012
Syrianska,IFK Göteborg,2,1,4451,Stefan Johannesson,Södertälje Fotbollsarena,2012-04-01,2012
Örebro,Åtvidaberg,3,4,6729,Daniel Stålhammar,Behrn Arena,2012-04-02,2012
Malmö FF,Gefle,0,0,17102,Tobias Mattsson,Swedbank Arena,2012-04-02,2012
IFK Norrköping,Helsingborg,1,0,8225,Jonas Eriksson,Nya Parken,2012-04-02,2012
Gefle,Syrianska,1,1,4612,Andreas Ekberg,Strömvallen,2012-04-06,2012
Åtvidaberg,Gais,2,1,4113,Johan Hamlin,NA,2012-04-06,2012
Häcken,Malmö FF,5,0,4108,Michael Lerjéus,Rambergsvallen,2012-04-07,2012
Mjällby,Örebro,0,0,3409,Tobias Mattsson,Strandvallen,2012-04-07,2012
Djurgården,Sundsvall,1,0,11742,Daniel Stålhammar,Stockholms Stadion,2012-04-08,2012
Helsingborg,Elfsborg,2,1,13107,Stefan Johannesson,Olympia,2012-04-08,2012
IFK Göteborg,IFK Norrköping,1,2,15334,Martin Hansson,NA,2012-04-09,2012
Kalmar,AIK,1,2,10079,Markus Strömbergsson,NA,2012-04-09,2012
Åtvidaberg,Gefle,6,1,2863,Bojan Pandzic,NA,2012-04-10,2012
Gais,Djurgården,0,0,4470,Martin Strömbergsson,NA,2012-04-11,2012
Örebro,Helsingborg,0,0,5612,Michael Lerjéus,NA,2012-04-11,2012
Sundsvall,Syrianska,4,0,3371,Johan Hamlin,NA,2012-04-12,2012
Elfsborg,IFK Norrköping,2,0,7413,Markus Strömbergsson,Borås arena,2012-04-12,2012
Häcken,Mjällby,4,2,2471,Martin Hansson,Rambergsvallen,2012-04-12,2012
AIK,IFK Göteborg,1,1,15702,Jonas Eriksson,Råsunda,2012-04-12,2012
Malmö FF,Kalmar,2,0,12533,Stefan Johannesson,NA,2012-04-13,2012
Syrianska,AIK,0,1,3093,Michael Lerjéus,NA,2012-04-15,2012
IFK Göteborg,Örebro,2,2,10039,Martin Strömbergsson,NA,2012-04-15,2012
Mjällby,Åtvidaberg,2,0,2831,Markus Strömbergsson,NA,2012-04-15,2012
Helsingborg,Gais,1,1,8102,Tobias Mattsson,Olympia,2012-04-16,2012
IFK Norrköping,Sundsvall,2,2,5271,Andreas Ekberg,NA,2012-04-16,2012
Kalmar,Häcken,3,1,5051,Johan Hamlin,NA,2012-04-16,2012
Gefle,Elfsborg,1,2,2890,Daniel Stålhammar,NA,2012-04-16,2012
Djurgården,Malmö FF,2,3,9582,Martin Hansson,Stockholms Stadion,2012-04-16,2012
Mjällby,Djurgården,4,3,3022,Andreas Ekberg,NA,2012-04-20,2012
Åtvidaberg,Helsingborg,1,2,4219,Tobias Mattsson,NA,2012-04-21,2012
Kalmar,Gefle,0,1,5007,Bojan Pandzic,NA,2012-04-21,2012
Gais,IFK Norrköping,2,0,4100,Daniel Stålhammar,NA,2012-04-22,2012
AIK,Sundsvall,1,1,9771,Stefan Johannesson,Råsunda,2012-04-22,2012
Malmö FF,Syrianska,2,0,11640,Martin Strömbergsson,Swedbank Stadion,2012-04-23,2012
Häcken,IFK Göteborg,1,2,6040,Jonas Eriksson,Rambergsvallen,2012-04-23,2012
Örebro,Elfsborg,0,2,8023,Martin Hansson,Behrn Arena,2012-04-23,2012
Elfsborg,Gais,2,1,9645,Stefan Johannesson,Borås Arena,2012-04-26,2012
Gefle,AIK,0,1,4181,Jonas Eriksson,Strömvallen,2012-04-26,2012
Helsingborg,Mjällby,1,1,9514,Johan Hamlin,"Olympia, Helsingborg",2012-04-27,2012
Syrianska,Häcken,1,2,1860,Tobias Mattsson,Södertälje Fotbollsarena,2012-04-28,2012
IFK Göteborg,Åtvidaberg,2,1,11855,Andreas Ekberg,Gamla Ullevi,2012-04-28,2012
Djurgården,Kalmar,1,1,8712,Martin Strömbergsson,Stadion,2012-04-29,2012
Sundsvall,Örebro,3,1,4318,Bojan Pandzic,Norrporten Arena,2012-04-29,2012
IFK Norrköping,Malmö FF,3,2,8079,Michael Lerjéus,Nya Parken,2012-04-29,2012
IFK Göteborg,Sundsvall,2,0,8680,Tobias Mattsson,Gamla Ullevi,2012-05-02,2012
Syrianska,Elfsborg,1,4,1610,Bojan Pandzic,Södertälje Fotbollsarena,2012-05-02,2012
Åtvidaberg,Häcken,0,3,3620,Martin Strömbergsson,Kopparvallen,2012-05-02,2012
Helsingborg,AIK,0,0,9343,Martin Hansson,"Olympia, Helsingborg",2012-05-02,2012
Djurgården,Örebro,2,1,6587,Johan Hamlin,Stadion,2012-05-03,2012
Gefle,IFK Norrköping,0,2,2863,Andreas Ekberg,Strömvallen,2012-05-03,2012
Mjällby,Malmö FF,2,2,6295,Daniel Stålhammar,Strandvallen,2012-05-03,2012
Kalmar,Gais,2,2,5585,Michael Lerjéus,Guldfågeln Arena,2012-05-04,2012
Sundsvall,Helsingborg,0,1,2503,Martin Strömbergsson,Norrporten Arena,2012-05-05,2012
IFK Norrköping,Syrianska,1,4,6538,Jonas Eriksson,Nya Parken,2012-05-06,2012
Malmö FF,Åtvidaberg,2,1,14112,Johan Hamlin,Stadion,2012-05-06,2012
Elfsborg,IFK Göteborg,1,0,16014,Markus Strömbergsson,Borås Arena,2012-05-07,2012
Gais,Mjällby,2,2,3749,Tobias Mattsson,Gamla Ullevi,2012-05-07,2012
Örebro,Kalmar,0,1,4785,Daniel Stålhammar,Behrn Arena,2012-05-07,2012
AIK,Djurgården,1,1,27112,Stefan Johannesson,Råsunda,2012-05-08,2012
Häcken,Gefle,3,0,1862,Michael Lerjéus,Rambergsvallen,2012-05-10,2012
Malmö FF,Helsingborg,3,0,23638,Jonas Eriksson,Stadion,2012-05-10,2012
Syrianska,Gais,2,0,1775,Martin Hansson,Södertälje Fotbollsarena,2012-05-11,2012
Kalmar,Mjällby,1,2,6118,Markus Strömbergsson,Guldfågeln Arena,2012-05-12,2012
Djurgården,Åtvidaberg,1,1,7305,Tobias Mattsson,Stadion,2012-05-12,2012
IFK Norrköping,Örebro,3,0,5405,Bojan Pandzic,Nya Parken,2012-05-13,2012
Helsingborg,Häcken,3,2,10038,Andreas Ekberg,"Olympia, Helsingborg",2012-05-13,2012
Elfsborg,AIK,1,0,9817,Martin Strömbergsson,Borås Arena,2012-05-13,2012
Gefle,Sundsvall,0,0,3467,Johan Hamlin,Strömvallen,2012-05-14,2012
IFK Göteborg,Malmö FF,2,2,12549,Stefan Johannesson,Gamla Ullevi,2012-05-14,2012
Kalmar,Helsingborg,1,1,7026,Stefan Johannesson,Guldfågeln Arena,2012-05-16,2012
Åtvidaberg,Syrianska,1,0,3729,Andreas Ekberg,Kopparvallen,2012-05-16,2012
Häcken,IFK Norrköping,6,0,2518,Daniel Stålhammar,Rambergsvallen,2012-05-16,2012
Örebro,AIK,2,2,7722,Markus Strömbergsson,Behrn Arena,2012-05-16,2012
Mjällby,IFK Göteborg,1,1,6112,Martin Strömbergsson,Strandvallen,2012-05-17,2012
Gais,Sundsvall,1,2,3595,Michael Lerjéus,Gamla Ullevi,2012-05-17,2012
Djurgården,Gefle,1,1,7138,Jonas Eriksson,Stadion,2012-05-17,2012
Malmö FF,Elfsborg,1,0,17243,Martin Hansson,Stadion,2012-05-17,2012
Åtvidaberg,Kalmar,3,0,4932,Martin Hansson,Kopparvallen,2012-05-20,2012
Häcken,Djurgården,1,1,3422,Johan Hamlin,Rambergsvallen,2012-05-20,2012
AIK,IFK Norrköping,5,2,11896,Michael Lerjéus,Råsunda,2012-05-20,2012
Mjällby,Gefle,0,0,3358,Andreas Ekberg,Strandvallen,2012-05-20,2012
Örebro,Syrianska,0,1,6141,Tobias Mattsson,Behrn Arena,2012-05-20,2012
Sundsvall,Elfsborg,0,3,4464,Markus Strömbergsson,Norrporten Arena,2012-05-21,2012
Gais,IFK Göteborg,1,1,16921,Bojan Pandzic,Gamla Ullevi,2012-05-21,2012
Helsingborg,Djurgården,1,1,9861,Michael Lerjéus,"Olympia, Helsingborg",2012-05-23,2012
Syrianska,Mjällby,2,1,2066,Jonas Eriksson,Södertälje Fotbollsarena,2012-05-23,2012
IFK Norrköping,Åtvidaberg,2,2,15715,Stefan Johannesson,Nya Parken,2012-05-23,2012
Gefle,Örebro,2,1,3749,Martin Hansson,Strömvallen,2012-05-23,2012
IFK Göteborg,Kalmar,1,1,9402,Martin Strömbergsson,Gamla Ullevi,2012-05-24,2012
Elfsborg,Häcken,2,0,9744,Tobias Mattsson,Borås Arena,2012-05-24,2012
AIK,Gais,1,0,11112,Andreas Ekberg,Råsunda,2012-05-24,2012
Sundsvall,Malmö FF,1,1,5210,Bojan Pandzic,Norrporten Arena,2012-05-24,2012
Kalmar,Syrianska,3,0,5301,Magnus Ahlsén,Guldfågeln Arena,2012-06-30,2012
Mjällby,IFK Norrköping,0,2,2835,Lars Olsson,Strandvallen,2012-06-30,2012
Åtvidaberg,Elfsborg,5,1,5016,Daniel Stålhammar,Kopparvallen,2012-06-30,2012
Häcken,Sundsvall,1,2,1968,Andreas Ekberg,Rambergsvallen,2012-06-30,2012
Helsingborg,Gefle,4,1,8597,Johan Hamlin,"Olympia, Helsingborg",2012-07-02,2012
Malmö FF,AIK,4,0,14583,Martin Hansson,Stadion,2012-07-02,2012
Djurgården,IFK Göteborg,3,2,10115,Michael Lerjéus,Stadion,2012-07-03,2012
Gais,Örebro,0,1,4233,Martin Strömbergsson,Gamla Ullevi,2012-07-05,2012
Syrianska,Djurgården,1,1,3712,Andreas Ekberg,Södertälje Fotbollsarena,2012-07-07,2012
Sundsvall,Åtvidaberg,3,3,4621,Kristoffer Karlsson,Norrporten Arena,2012-07-07,2012
AIK,Häcken,3,1,9383,Daniel Stålhammar,Råsunda,2012-07-08,2012
Gefle,Gais,0,0,2396,Michael Lerjéus,Strömvallen,2012-07-08,2012
IFK Norrköping,Kalmar,2,1,7502,Tobias Mattsson,Nya Parken,2012-07-08,2012
Elfsborg,Mjällby,0,0,10258,Martin Hansson,Borås Arena,2012-07-08,2012
Örebro,Malmö FF,2,1,7156,Markus Strömbergsson,Behrn Arena,2012-07-09,2012
IFK Göteborg,Helsingborg,1,1,12029,Stefan Johannesson,Gamla Ullevi,2012-07-09,2012
Helsingborg,Syrianska,1,0,8416,Jonas Eriksson,"Olympia, Helsingborg",2012-07-14,2012
Mjällby,Sundsvall,1,0,3180,Bojan Pandzic,Strandvallen,2012-07-14,2012
Åtvidaberg,AIK,2,0,7621,Martin Strömbergsson,Kopparvallen,2012-07-14,2012
IFK Göteborg,Gefle,1,1,8851,Kristoffer Karlsson,Gamla Ullevi,2012-07-14,2012
Örebro,Häcken,1,2,6023,Magnus Ahlsén,Behrn Arena,2012-07-15,2012
Kalmar,Elfsborg,2,1,8627,Markus Strömbergsson,Guldfågeln Arena,2012-07-15,2012
Djurgården,IFK Norrköping,1,1,9043,Johan Hamlin,Stadion,2012-07-16,2012
Malmö FF,Gais,2,0,13023,Stefan Johannesson,Stadion,2012-07-16,2012
Häcken,Örebro,2,1,8574,Martin Strömbergsson,Ullevi,2012-07-19,2012
Syrianska,Helsingborg,1,3,2002,Michael Lerjéus,Södertälje Fotbollsarena,2012-07-21,2012
Sundsvall,Mjällby,3,1,3889,Tobias Mattsson,Norrporten Arena,2012-07-21,2012
Gefle,IFK Göteborg,5,0,4420,Jonas Eriksson,Strömvallen,2012-07-21,2012
Elfsborg,Kalmar,3,0,8996,Daniel Stålhammar,Borås Arena,2012-07-22,2012
AIK,Åtvidaberg,1,0,9231,Andreas Ekberg,Råsunda,2012-07-22,2012
Gais,Malmö FF,2,3,5045,Markus Strömbergsson,Gamla Ullevi,2012-07-23,2012
IFK Norrköping,Djurgården,1,1,10392,Martin Hansson,Nya Parken,2012-07-23,2012
Åtvidaberg,Örebro,1,1,4420,Jonas Eriksson,Kopparvallen,2012-07-27,2012
Helsingborg,IFK Norrköping,1,2,8639,Tobias Mattsson,"Olympia, Helsingborg",2012-07-28,2012
Gefle,Malmö FF,0,2,4150,Bojan Pandzic,Strömvallen,2012-07-28,2012
Mjällby,AIK,0,1,4539,Markus Strömbergsson,Strandvallen,2012-07-29,2012
Djurgården,Elfsborg,0,0,7386,Stefan Johannesson,Stadion,2012-07-29,2012
Kalmar,Sundsvall,1,1,5823,Andreas Ekberg,Guldfågeln Arena,2012-07-29,2012
Häcken,Gais,3,1,5606,Martin Hansson,Rambergsvallen,2012-07-30,2012
IFK Göteborg,Syrianska,1,0,8453,Johan Hamlin,Gamla Ullevi,2012-07-31,2012
Syrianska,Gefle,1,0,1476,Tobias Mattsson,Södertälje Fotbollsarena,2012-08-04,2012
Gais,Åtvidaberg,2,2,3119,Stefan Johannesson,Gamla Ullevi,2012-08-04,2012
Malmö FF,Häcken,0,0,14848,Daniel Stålhammar,Stadion,2012-08-05,2012
AIK,Kalmar,1,2,9905,Michael Lerjéus,Råsunda,2012-08-05,2012
Örebro,Mjällby,0,1,4725,Andreas Ekberg,Behrn Arena,2012-08-06,2012
