Kapitel,Paragraf,Ord
1,15,sin
1,15,tunna
1,15,kappa
1,15,hade
1,15,åkt
1,15,milslångt
1,15,över
1,15,frusna
1,15,sjöar
1,15,där
1,15,alla
1,15,kalla
1,15,vindar
1,15,hade
1,15,stämt
1,15,möte
1,15,det
1,15,var
1,15,då
1,15,han
1,15,hade
1,15,kastats
1,15,omkring
1,15,på
1,15,dessa
1,15,samma
1,15,sjöar
1,15,i
1,15,båt
1,15,under
1,15,storm
1,15,och
1,15,ösregn
1,15,det
1,15,var
1,15,då
1,15,han
1,15,under
1,15,yrväder
1,15,hade
1,15,måst
1,15,stiga
1,15,ur
1,15,släden
1,15,och
1,15,bana
1,15,hästen
1,15,väg
1,15,genom
1,15,drivor
1,15,höga
1,15,som
1,15,hus
1,15,eller
1,15,då
1,15,han
1,15,hade
1,15,vadat
1,15,fram
1,15,genom
1,15,skogsträsken
1,15,det
1,15,var
1,15,då
1,15,som
1,15,han
1,15,hade
1,15,lärt
1,15,sig
1,15,att
1,15,älska
1,15,brännvinet
1,16,årets
1,16,dagar
1,16,hade
1,16,släpat
1,16,sig
1,16,fram
1,16,i
1,16,tung
1,16,dysterhet
1,16,bonde
1,16,och
1,16,herreman
1,16,hade
1,16,gått
1,16,med
1,16,alla
1,16,tankar
1,16,bundna
1,16,vid
1,16,jordens
1,16,stoft
1,16,men
1,16,om
1,16,kvällen
1,16,hade
1,16,andarna
1,16,kastat
1,16,sina
1,16,bojor
1,16,befriade
1,16,av
1,16,brännvinet
1,16,ingivelsen
1,16,kom
1,16,hjärtat
1,16,värmdes
1,16,livet
1,16,blev
1,16,strålande
1,16,sången
1,16,klingade
1,16,rosor
1,16,doftade
1,16,gästgivargårdens
1,16,krogrum
1,16,hade
1,16,då
1,16,för
1,16,honom
1,16,blivit
1,16,en
1,16,sydländsk
1,16,blomstergård:
1,16,druvor
1,16,och
1,16,oliver
1,16,hängde
1,16,ned
1,16,över
1,16,hans
1,16,huvud
1,16,marmorstoder
1,16,blänkte
1,16,i
1,16,mörkt
1,16,lövverk
1,16,vise
1,16,och
1,16,diktare
1,16,vandrade
1,16,under
1,16,palmer
1,16,och
1,16,plataner
1,17,nej
1,17,han
1,17,prästen
1,17,däruppe
1,17,på
1,17,predikstolen
1,17,visste
1,17,att
1,17,utan
1,17,brännvin
1,17,kunde
1,17,inte
1,17,livet
1,17,levas
1,17,i
1,17,den
1,17,landsändan;
1,17,alla
1,17,hans
1,17,åhörare
1,17,visste
1,17,det
1,17,och
1,17,nu
1,17,ville
1,17,de
1,17,döma
1,17,honom
1,18,de
1,18,ville
1,18,slita
1,18,av
1,18,honom
1,18,prästkappan
1,18,därför
1,18,att
1,18,han
1,18,hade
1,18,kommit
1,18,drucken
1,18,i
1,18,deras
1,18,guds
1,18,hus
1,18,ah
1,18,alla
1,18,dessa
1,18,människor
1,18,hade
1,18,de
1,18,då
1,18,ville
1,18,de
1,18,tro
1,18,att
1,18,de
1,18,hade
1,18,någon
1,18,annan
1,18,gud
1,18,än
1,18,brännvinet?
1,19,han
1,19,hade
1,19,läst
1,19,upp
1,19,inledningen
1,19,och
1,19,han
1,19,böjde
1,19,sig
1,19,ned
1,19,för
1,19,att
1,19,läsa
1,19,fader
1,19,vår
1,20,det
1,20,var
1,20,andlös
1,20,tystnad
1,20,i
1,20,kyrkan
1,20,under
1,20,bönen
1,20,men
1,20,plötsligt
1,20,högg
1,20,prästen
1,20,med
1,20,bägge
1,20,händerna
1,20,ett
1,20,säkert
1,20,tag
1,20,i
1,20,banden
1,20,som
1,20,höllo
1,20,fast
1,20,prästkappan
1,20,det
1,20,förekom
1,20,honom
1,20,som
1,20,om
1,20,hela
1,20,församlingen
1,20,med
1,20,biskopen
1,20,i
1,20,spetsen
1,20,smög
1,20,sig
1,20,uppför
1,20,predikstolstrappan
1,20,för
1,20,att
1,20,rycka
1,20,kappan
1,20,av
1,20,honom
1,20,han
1,20,låg
1,20,på
1,20,knä
1,20,och
1,20,vände
1,20,inte
1,20,huvudet
1,20,men
1,20,han
1,20,kunde
1,20,just
1,20,känna
1,20,hur
1,20,de
1,20,ryckte
1,20,och
1,20,han
1,20,såg
1,20,dem
1,20,så
1,20,tydligt
1,20,både
1,20,biskopen
1,20,och
1,20,skolprästerna
1,20,prostarna
1,20,kyrkovärdarna
1,20,klockaren
1,20,och
1,20,hela
1,20,församlingen
1,20,i
1,20,en
1,20,lång
1,20,rad
1,20,slitande
1,20,och
1,20,bändande
1,20,för
1,20,att
1,20,få
1,20,loss
1,20,hans
1,20,kappa
1,20,och
1,20,han
1,20,föreställde
1,20,sig
1,20,livligt
1,20,hur
1,20,alla
1,20,dessa
1,20,som
1,20,ryckte
1,20,så
1,20,ivrigt
1,20,skulle
1,20,stupa
1,20,över
1,20,varandra
1,20,utför
1,20,trappan
1,20,då
1,20,kappan
1,20,lossnade
1,20,och
1,20,hela
1,20,raden
1,20,därnere
1,20,som
1,20,inte
1,20,hade
1,20,kommit
1,20,åt
1,20,att
1,20,dra
1,20,i
1,20,kappan
1,20,utan
1,20,bara
1,20,i
1,20,den
1,20,framför
1,20,ståendes
1,20,rockskört
1,20,skulle
1,20,också
1,20,falla
1,21,han
1,21,såg
1,21,det
1,21,så
1,21,tydligt
1,21,att
1,21,han
1,21,måste
1,21,småle
1,21,där
1,21,han
1,21,låg
1,21,på
1,21,knä
1,21,men
1,21,på
1,21,samma
1,21,gång
1,21,trängde
1,21,kallsvetten
1,21,fram
1,21,på
1,21,hans
1,21,panna
1,21,det
1,21,var
1,21,ändå
1,21,för
1,21,ohyggligt
1,21,alltsammans
1,22,så
1,22,att
1,22,han
1,22,nu
1,22,skulle
1,22,varda
1,22,en
1,22,förkastad
1,22,man
1,22,för
1,22,brännvinets
1,22,skull
1,22,en
1,22,avsatt
1,22,präst
1,22,skulle
1,22,han
1,22,bli
1,22,famns
1,22,det
1,22,på
1,22,jorden
1,22,något
1,22,uslare?
1,23,han
1,23,skulle
1,23,bli
1,23,en
1,23,av
1,23,landsvägens
1,23,tiggare
1,23,ligga
1,23,rusig
1,23,vid
1,23,dikeskanten
1,23,gå
1,23,klädd
1,23,i
1,23,trasor
1,23,umgås
1,23,med
1,23,skojare
1,24,bönen
1,24,var
1,24,slut
1,24,han
1,24,skulle
1,24,börja
1,24,läsa
1,24,upp
1,24,sin
1,24,predikan
1,24,då
1,24,kom
1,24,en
1,24,tanke
1,24,över
1,24,honom
1,24,och
1,24,hejdade
1,24,orden
1,24,på
1,24,hans
1,24,läppar
1,24,han
1,24,tänkte
1,24,att
1,24,det
1,24,var
1,24,sista
1,24,gången
1,24,han
1,24,fick
1,24,stå
1,24,däruppe
1,24,på
1,24,predikstolen
1,24,och
1,24,förkunna
1,24,guds
1,24,ära
1,25,för
1,25,sista
1,25,gången
1,25,detta
1,25,grep
1,25,prästen
1,25,han
1,25,glömde
1,25,allt
1,25,om
1,25,brännvin
1,25,och
1,25,biskop
1,25,han
1,25,tänkte
1,25,att
1,25,han
1,25,måste
1,25,begagna
1,25,tillfället
1,25,och
1,25,vittna
1,25,om
1,25,guds
1,25,ära
1,26,han
1,26,tyckte
1,26,att
1,26,kyrkgolvet
1,26,med
1,26,alla
1,26,åhörarna
1,26,sjönk
1,26,djupt
1,26,djupt
1,26,ned
1,26,och
1,26,att
1,26,taket
1,26,lyftes
1,26,av
1,26,kyrkan
1,26,så
1,26,att
1,26,han
1,26,såg
1,26,in
1,26,i
1,26,himmelen
1,26,han
1,26,stod
1,26,ensam
1,26,helt
1,26,ensam
1,26,på
1,26,sin
1,26,predikstol
1,26,hans
1,26,ande
1,26,tog
1,26,sin
1,26,flykt
1,26,mot
1,26,den
1,26,öppnade
